,inputs,targets
1162,1มิลลิลิตร = กี่cc,หนึ่งมิลลิลิตร เท่ากับ หนึ่งลูกบาศก์เซนติเมตร
1163,เรือดำน้ำลำหนึ่งถูกออกแบบให้ทนความดันภายนอกได้ไม่เกิน 10 กำลัง 6 พาสคัล จะสามารถดำลึกจากระดับน้ำทะเลมากที่สุดเท่าใด,"จากสมการ P = pgh P = Pressure แรง ต่อ พื้นที่ "
1164,พ่อกรุ๊ป B แม่กรุ๊ป O ลูกกรุ๊ป A ได้ไหม,"เป็นไปได้ ถ้าเลือดของพ่อมียีน IAi แม่มียีน IBi ลูกออกมาก็สามารถเป็น ii คือกรุ๊ปโอ แต่ก็มีโอกาสแค่ 1/4 ในกรณีที่ทราบว่า IAi กับ IBi และมีโอกาสแค่ 1/16 ในกรณีที่ไม่ทราบว่ามียีนอะไร"
1165,ขณะที่เครื่องบินโดยสารบินใกล้ถึงสนามบินสามารถหยุดนิ่งรอกลางอากาศได้หรือไม่ เพราะอะไร,เครื่องบินหยุดกลางอากาศไม่ได้ ไม่เหมือนเฮลิคอปเตอร์ ต้องเคลื่อนที่ตลอดเวลาเพื่อให้มีแรงยกจากการเคลื่อนที่ของลมที่ปีกเครื่องบิน คำว่าหยุดนิ่งของคุณหมายความว่าอะไร ถ้าหมายถึงการบินในระดับความสูงคงที่ นั่นไม่ได้เรียกว่าหยุดนิ่ง
1168,ทำไมมนุษย์จึงต้องมีเพศ,สิ่งมีชีวิตที่แข็งแรงกว่า มีคุณสมบัติต่างๆ ดีกว่า และปรับตัวได้ดีกว่า ย่อมมีโอกาศอยู่รอดมากกว่า ในกรณีถ้าสิ่งมีชีวิตไม่มีเพศ จะทำให้การถ่ายทอดพันธุกรรม เป็นไปในลักษณะเดิมๆ เช่น บรรพบุรุษตัวเล็ก รุ่นถัดมา และต่อๆ ไปก็จะตัวเล็กไปด้วยไปด้วย ซึ่งถ้าหากอยู่ในสิ่งแวดล้อมที่เอื้ออำนวยให้กับสิ่งมีชีวิตที่มีขนาดร่างกายใหญ่ และสูงจะทำให้สิ่งมีชีวิตนี้สูญพันธุ์ได้เลย โดยที่จะต่างกับการที่มี 2 เพศ คือ การถ่ายทอดพันธุกรรมแบบนี้จะสามารถคัดเลือก และนำลักษณะเด่นของบรรพบุรุษ ส่งต่อไปให้กับรุ่นลูกได้
1169,แสงกับเวลามีความเกี่ยวข้องกันหรือไม่อย่างไร เช่น ถ้าสมมุติว่าแสงเดินทาง 10 กม. ต่อวินาที เราอยู่ห่างจากดวงอาทิตย์ 10000 กม. เราเห็นอดีตของดวงอาทิตย์! ,"มันเป็นเรื่องการเดินทางของแสง ไม่ใช่สัมพัทธภาพ ""เวลา"" ก็ยังคงเท่ากันอยู่"
1170,ถ้าเราเห็นฟ้าผ่า และได้ยินเสียงฟ้าร้องต่อมาในอีก1วินาที มีวิธีหาระยะทางจากจุดที่เราอยู่ไปถึงจุดที่ฟ้าผ่าได้ยังไง,"คำนวณกับความเร็วของเสียงในอากาศในขณะนั้น และต้องดูเรื่องอุณหภูมิด้วยว่า อากาศยิ่งร้อน เสียงจะยิ่งเดินทางได้เร็วขึ้น ณ 0 องศาเซลเซียส ความเร็วเสียงในอากาศเท่ากับ 331 m/s นั่นหมายความว่า"
1171,โลกใช้เวลาเท่าไรในการหมุนรอบดวงอาทิตย์,หนึ่งปี หรือ 365.25 วันโดยประมาณ
1172,สัตว์ที่กินเนื้อมีระบบทางเดินอาหารสั้นกว่าสัตว์ที่กินพืชเพราะอะไร,เพราะพืชย่อยสลายได้ยากกว่าเนื้อ โดยเซลลูโลสในพืชต้องใช้แบคทีเรียในการช่วยย่อยสลาย แต่เนื้อมีน้ำย่อยอยู่แล้วจึงใช้เวลาน้อยกว่า
1173,อยากทราบว่า Data Dict คืออะไร ละมีประโยชน์ อย่างไรบ้าง,Database Dictionary คือรายการแสดงรายละเอียดของฐานข้อมูลในโปรเจคหนึ่งๆ ว่า มีตารางอะไรบ้างและตารางต่างๆ มีฟิลด์อะไรบ้าง มีความหมายอย่างไร มีชนิดข้อมูลอะไร มีฟิลด์ใดที่จำเป็นต้องใส่ มีฟิลด์ใดเป็นคีย์หลักหรือคีย์ต่างตาราง เป็นต้น
1174,เมคคาทรอนิกส์คืออะไรและทำงานยังไง,แมคคาทรอนิก เป็นการผสมผสานระหว่าง แมคคานิกเกี่ยวกับเครื่องกล กลไก  รวมกับอิเล็กทรอนิกส์ และไฟฟ้า คือใช้อิเล็กทรอนิกส์ในการควบคุมแมคคานิก ตัวอย่างที่ชัดเจนที่สุดคือ หุ่นยนต์
1175,อย่างทราบว่ากระทะไฟฟ้าทำงานอย่างไร,อาศัยอุปกรณ์แปลงไฟฟ้าให้เป็นพลังงานความร้อน คือ ลวดนิโครม หรืออาจจะใช้หลักการเดียวกับการทำงานของ Induction Cooker หรือจะให้เข้าใจง่ายๆก็คือใช้หลักการของ Resonance
1176,ถ้าเกิดว่าผู้หญิงมีกรุ๊ปเลือดเป็น O แล้วแต่งานกับชายกรุ๊บเลือด AB ลูกจะมีโอกาสเป็นกรุ๊ปเลือดอะไรได้บ้าง,ลูกจะมีโอกาสเป็นกรุ๊ป A กับ B ในอัตราส่วน 1 : 1
1177,1 bar = กี่ Kg,ถ้าเป็นความดัน 1 บาร์ = 1.0197 Kg/cmp = 14.504 Psi
1178,พลังงานแตกต่างกับงานอย่างไร,งาน คือผลผลิตที่ได้จากการนำพลังงานมาใช้ ตัวอย่างเช่น งานที่เกิดจากการเข็นของ ก็มาจากพลังงานเคมีที่อยู่ในร่างกายของเรา
1179,พระพุทธศาสนา และ ศาสนาคริสต์ มีความแตกต่างกันอย่างไรบ้าง," ศาสนาพุทธ มี หลักใหญ่ อยู่ที่ ปัญญา คือ ""การไม่ยึดมั่นถือมั่นในสิ่งทั้งปวง"" เพื่อบรรลุ วัตถุประสงค์ อันสูงสุดคือ นิพพาน คือการไม่มีความทุกข์อย่างที่สุด หรือ การอยู่ในโลกอย่างไม่มีทุกข์ เพราะทุกข์เกิดจากการยึดถือ เมื่อหมดการยึดถือ จึงไม่มีอะไรจะทุกข์"
1180,ผู้ใดเป็นคนตั้งชื่อเดือนสมัยใหม่ของไทยครับ  เช่น มกราคม กุมภาพันธ์,สมเด็จพระเจ้าวรวงศ์เธอ กรมพระยาเทวะวงศ์วโรปการ
1181,คำว่า เย็นตาโฟ และ โอวัลติน มันมาได้อย่างไร มันเป็นภาษาอื่นหรือเป็นคำแผลงมา,"เพี้ยนมาจากภาษาจีนแต้จิ๋ว ยี่อ่องเต่าหู่ หรือภาษาจีนแคะ ยงเตาฟู หรือภาษาจีนกลาง หย่งโต้วฟู่ พยางค์แรกหาข้อมูลไม่เจอว่าเขียนอย่างไร แต่สองพยางค์สุดท้ายคือ 豆腐 แปลว่า เต้าหู้"
1182,เครื่องยนต์หกสูบ สามารถเรียกเป็นภาษาอังกฤษได้ว่าอย่างไร,"""6valve engine"" มีสามแบบคือ I6, V6, Flat 6 เป็นการจัดเรียงตัวของกระบอกสูบ"
1184,คนที่หน้าตาคล้ายกัน หรือ เหมือนกัน ทำไมต้องเป็นเนื้อคู่กัน ,ไม่จำเป็นเสมอไป แต่บางคนที่ได้พบกับคนอื่น ที่มีหน้าตาหรือนิสัย หรือองค์ประกอบอื่นใด คล้ายกับตนเอง อาจจะเกิดความสนใจ ใส่ใจ สงสัยใคร่รู้ ฯลฯ ขึ้นมาครับ และเขาอาจจะไม่ได้คิดว่าหน้าตาคล้ายตนเอง แต่ไปคิดว่าหน้าตาคล้ายพ่อแม่ พี่น้อง หรือญาติ ของตนก็ได้ หรืออาจจะเป็นมนุษย์เผ่าพันธุ์เดียวกัน ที่ไม่ได้หน้าตาคล้ายกันมากนัก แต่อาจเกิดถูกใจใครสักคนแล้วเผลอคิดไปเองว่าหน้าเหมือนกัน 
1185,ผู้แต่งนิทานพื้นบ้านเรื่องไกรทองคือใคร ,"นิทานพื้นบ้านหามีคนแต่งที่แท้จริงไม่ เล่ากันมาปากต่อปากอย่างกับว่าเกิดขึ้นจริง เช่นเดียวกับเรื่อง ปลาบู่ทอง ก็เช่นกัน อย่างไรก็ตามอาจะมีผู้เล่าใหม่ไว้ในหนังสือ หรือ รวบรวมไว้ ในภาษาอังกฤษจะเรียกว่า retold by .... หรือเรียกตามภาษาทันสมัยว่า ""เรื่องเก่าเอามาเล่าใหม่โดย..."""
1186,ทำไมจึงต้องมีการสร้างไวรัสคอมพิวเตอร์,"มีหลายเหตุผล/หลายสาเหตุ เช่น เป็นการ""ลองของ""ของโปรแกรมเมอร์บางราย, เป็นการทดลองของโปรแกรมเมอร์ที่ผิดพลาด ทำให้ไวรัสคอมพิวเตอร์หลุดออกมาระบาด, เป็นการทำร้ายหรือแก้แค้นสังคมโดยเจตนา อาจจะเป็นสังคมโลกโดยทั่วไป หรือเฉพาะบางสังคม เช่น สังคมอินเทอร์เน็ต , เป็นการกระทำเพื่อหวังผลทางธุรกิจ หรือทางการเมือง/การปกครอง/ความสัมพันธ์ ระหว่างประเทศ หรืออื่นๆ เป็นต้น แต่ทั้งนี้ก็เป็นที่ทราบกันว่า ส่วนใหญ่เกิดจากเจตนาร้ายของผู้สร้าง"
1187,คือดิฉันอยากเปิดร้านอาหารไทย ร้านเล็กๆที่เมืองต้าเหลียน ไม่ทราบว่าต้องติดต่อใครคะ เเล้วต้องทำไงบ้าง,การจะทำธุรกิจที่ประเทศใด ๆ ควรจะศึกษากฎหมายของประเทศนั้นก่อนครับว่าเป็นยังไง เอื้อให้ทำได้ไหม ต้องมีคนท้องถิ่นถือหุ้นด้วยไหมและเท่าไร ฯลฯ
1188,เส้นทางสายไหม นอกจากจะมีการค้าขายทั้งทางบกและทางทะเลแล้ว ยังมีการเผยแผ่ศาสนาใดบ้าง,ศาสนาพุทธ อิสลาม ฮินดู
1189,ในสงครามโลกครั้งที่ 1 ทำไมอินเดียถึงเข้าข้างและช่วยอังกฤษในการสู้รบ,เพราะอินเดียเคยเป็นอาณานิคมของอังกฤษ
1190,ตะวันอ้อมข้าวหมายถึงอะไร,ตะวันอ้อมข้าวเป็นคำเรียกของชาวบ้านในการเรียบปรากฏการณ์ที่เกิดจากการเคลื่อนที่ของดวงอาทิตย์บนท้องฟ้าที่เราเห็นบนผิวโลกจะไม่เคลื่อนที่บนเส้นทางเดิม สังเกตได้ง่ายๆจากเงาของสิ่งก่อสร้าง เช่นตึกจะไม่ตกลงยังที่เดิมในแต่ละฤดูกาล จริงๆแล้วเงาวันนี้กับเมื่อวานก็ไม่ซ้ำกันด้วย แต่ถ้าเทียบเป็นเดือนหรือฤดูจะเห็นชัดกว่า  เหมือนกับเงาของต้นข้าวในท้องนาที่เปลี่ยนมุมไปเรื่อยๆในแต่ละวัน เกิดขึ้นจากวงโคจรของโลกรอบดวงอาทิตย์และแกนของโลกเอียงทำให้การเคลื่อนที่จะสวิงไปมาในแต่ละปี
1191,แม่น้ำโขงไหลลงสู่ทะเลจีนใต้ที่ประเทศใด,ประเทศเวียดนาม
1192,ในวันที่ 20 เมษายน พ.ศ. 2529 ตรงกับวันอะไร ปีอะไร,ตรงกับวันอาทิตย์ ขึ้น 12 ค่ำ เดือน 5 ปีขาล จ.ศ. 1348
1193,นาปีและนาปรังแตกต่างกันอย่างไร,นาปี หมายถึง การทำนาในฤดูฝน ส่วนนาปรัง หมายถึง การทำนานอกฤดูฝน
1194,การปกครองแบบจตุสดมภ์ในสมัยกรุงศรีอยุธยาตอนต้น หน่วยงานที่เรียกว่าวังมีหน้าที่อย่างไร,แบ่งออกเป็น สี่อย่างคือ เวียง วัง คลัง นา ครับ เวียง คือ กลาโหม วัง คือ หน่วยงานที่ดูแลเรื่องพระราชวังและราชสำนัก คลัง คือ การคลัง นา คล้าย ๆ กับ กระทรวงเกษตรในปัจจุบันนั่นเอง
1195,ช่วยบอกพื้นที่ที่เหมาะแก่การเพาะปลูกข้าวให้หน่อย,ภาคที่เหมาะแก่การปลูกข้าวที่สุดคือ ภาคเหนือ เป็นภาคที่มีผลผลิตต่อไร่สูงที่สุดในประเทศ และดินมีความอุดมสมบูรณ์จากตะกอนภูเขาในปริมาณสูง โดยเฉพาะบริเวณลานตะพักน้ำ ของลุ่มน้ำปิง ลุ่มน้ำวัง และลุ่มน้ำกก ส่วนภาคที่มีพื้นที่เพาะปลูกมากที่สุดคือ ภาคตะวันออกเฉียงเหนือ แต่ได้ผลผลิตต่ำกว่าภาคเหนือ ส่วนภาคกลางมาเป็นอันดับสาม ทั้งพื้นที่ และผลผลิตต่อไร่ ส่วนการปลูกข้าว ไม่จำเป็นต้องใช้ดินเหนียวอุ้มน้ำแบบภาคกลางครับ เพราะข้าวคือหญ้าชนิดหนึ่ง ซึ่งชอบดินเหนียวปนทราย มากกว่า นั่นจึงส่งผลให้ภาคเหนือ และภาคอีสาน ปลูกข้าวได้ผลผลิตต่อไร่สูงกว่าภาคกลาง
1196,ประเทศโบลิเวีย นับถือศาสนาอะไร ,ประชากร 95% นับถือโรมันคาทอลิก ที่เหลือเป็นโปรเตสแตนต์
1197,ในรูปพระกระยาหารค่ำมื้อสุดท้ายมีมือคนถือกริช อยากรู้ความหมายจัง และมือนั้นเป็นมือใคร ไม่ค่อยเข้าใจค่ะ ใครทราบรบกวนอธิบายให้หน่อย,"ตามพระคัมภีร์ไบเบิ้ล กล่าวไว้ว่าเป็นมือของสาวก มีไว้เพื่อค่อยปกป้องพระเยซู แต่ในหนังสือรหัสลับดาวินชี จะบอกว่ามีไว้เพื่อสังหารแมรี"
1198,นิวซีแลนด์นับถือสัญชาติอะไร,สัญชาตินิวซีแลนด์
1199,เปรูนับถือสัญชาติอะไร,สัญชาติเปรู
1200,ความหมาย ของสีธงชาติอิตาลี 3 สีคืออะไร," สีเขียว คือ ที่ราบหรือทุ่งกว้างของประเทศอิตาลี"
1201,ไข่อ่อน ในไก่ ภาษาอังกฤษเรียกว่าอะไร,ถ้าเป็นระยะที่ไม่ได้ผสมพันธุ์เรียกว่า ovum หรือ ovule ถ้าผสมพันธุ์แล้วเรียก egg เลย
1202,ใช้อย่างไร กะทะ หรือกระทะ,กระทะ เป็นคำที่ถูกต้อง ส่วน กะทะ นั้นไม่มี
1205,สรร อ่านออกเสียงสระใด,ถ้าไม่มีตัวสะกดให้อ่านเป็นมีสระอะ และมี น สะกด เช่น สรร = /สัน/ ถ้ามีตัวสะกดก็อ่านตามตัวสะกดไป เช่น สรรพ = /สับ/
1206,"อยากถามว่า คำว่า ""หน่อง"" แปลว่าอะไร","""หน่อง"" ถ้าเป็นคำว่าหน่องในภาษาเหนือคำเมือง  หมายถึง การถ่วงน้ำหนัก ถ่วงวัสดุอย่างใดอย่างหนึ่งไว้ เช่น การถ่วงน้ำหนักของบอลลูน ก็จะใช้คนกับกระเช้าเป็นตัวหน่องถ่วงน้ำหนัก  หรือ การใช้ โลหะหนักหน่อง ถ่วงตะขอเบ็ด หรือ การใช้ สมอเรือหน่องถ่วงเรือ กลางทะเล เป็นต้น"
1207,คำว่า กฤษเช่นพระกฤษณะ  และ คำว่า ชนกพระมหาชนก  เชียนเป็นภาษาอังกฤษที่ถูกต้องว่าอย่างไร,"ตามหลักทับศัพท์ภาษาสันสกฤตด้วยอักษรโรมันจะได้ Krishna कृष्ण  และ Mahājanaka"
1208,ความแตกต่างระหว่าง ภาษาไทยและภาษาอังกฤษคืออะไรบ้าง,"1.ภาษาอังกฤษมีคำเอกพจน์พหูพจน์ เช่น a catเอกพจน์  five catsพหูพจน์  ต่างจากภาษาไทยที่บอกจำนวนไปเลยโดยเติมตัวเลขด้านหลังนามนั้นๆ เช่น แมวห้าตัว และไม่มีการเปลี่ยนแปลงศัพท์"
1209,"ขอความกรุณาช่วยให้ความหมายของคำว่า "" โภคาลัย""","โภคา = สมบัติ, อาลัย = ที่อยู่ ดังนั้น โภคาลัย อาจหมายถึง คลังสมบัติ"
1210,คำว่า เศรษฐกิจฟองสบู่ BubbleEconomic หมายความว่าอะไร ช่วยตอบหน่อย,เป็นการเปรียบเทียบการเฟื่องฟูของระบบการเงินในธุรกิจโดยเฉพาะในตลาดหุ้น ซึ่งมักจะมาพร้อมกับการเพิ่มขึ้นของมูลค่าอสังหาริมทรัพย์ กล่าวคือธุรกิจโดยทั่วไปจะมีกำไรส่วนเพิ่มของสินทรัพย์ จากการค้าขาย แต่ฟองสบู่จะเป็นการเพิ่มมูลค่าโดยใช้การตีราคาสินทรัพย์เข้าช่วย ตัวอย่างเช่น บริษัท ช. มีสินทรัพย์ 100 บาท ค้าขายได้กำไร 10 บาท สิ้นปีงบออกมามีสินทรัพย์ 110 บาท มูลค่าของหุ้นในราคาตามบัญชี ก็จะเป็น 1.1 บาทสมมติว่ามี 100 หุ้น ผู้ถือหุ้นก็จะมีกำไรจากการถือหุ้นบริษัท ช. เท่ากับหุ้นละ 0.1 บาท ในขณะที่ บริษัท ต. มีสินทรัพย์ 100 บาท ในนี้มีที่ดิน 50 บาท ค้าขายได้กำไร 5 บาท แทนที่สิ้นปี บริษัท ต. จะแจ้งว่ามีสินทรัพย์อยู่ 105 บาท แต่ไม่ ผู้บริหารของบริษัท ต. กลับนำที่ดินไปตีราคาซึ่งขณะนั้นราคากำลังขึ้น  ปรากฏว่าที่ดินมีราคาเพิ่มขึ้น 50% เป็น 75 บาท บริษัท ต. ก็จะเปลี่ยนเป็นมีสินทรัพย์รวมเท่ากับ 130 บาทแทน ทำให้ผู้ถือหุ้นของ บริษัท ต. มีกำไรเพิ่มขึ้นจากการถือหุ้น หุ้นละ 0.3 บาท ซึ่งมากกว่าบริษัท ช. ที่ค้าขายเก่งกว่าเสียอีก ทีนี้ลองคิดว่าคนเล่นหุ้นจะรู้สึกอย่างไรที่คนถือหุ้นบริษัท ต. ได้กำไรถึง 30% จากการประกาศงบการเงินประจำปี ราคาตามบัญชีอาจแค่ 1.3 แต่ราคาซื้อขายกันจริง ๆ ต้องมากกว่านั้นอีก และน่าจะเพิ่มขึ้นเรื่อย ๆ ตามภาวะตลาดช่วงนั้นจะเรียกตลาดกระทิง  ซึ่งในความเป็นจริงจะสังเกตได้ว่าตัวเลขต่าง ๆ เป็นการตีเพิ่มทั้งนั้น ความสามารถในการบริหารงานจริงอาจไม่ใช่ หรือเป็นตรงกันข้าม ทำให้เมื่อตัวเลขซึ่งขยายออกไปมากเกินความเป็นจริงเปรียบกับฟองสบู่  ถึงระดับหนึ่งจะต้องแตกออก ซึ่งก็มักจะมาพร้อมกับราคาที่ดินตก! ซึ่งฟองสบู่จะแตกแรงหรือไม่ก็อยู่ที่ราคาที่ดินว่าผันผวนมากขนาดไหน ส่วนปี 40 จะประกอบกันหลายเรื่อง ฟองสบู่แตกก็เป็นเพียงส่วนหนึ่ง การบังคับใช้มาตรฐานการบัญชีเกี่ยวกับการให้ผู้สอบตีราคาสินทรัพย์ด้วยก็เป็นอีกส่วนหนึ่งที่ทำให้ฟองสบู่แตก แต่ที่แย่ที่สุดคือการโดนโจมตีค่าเงินขาลง 
1211,อยากทราบวิธีเรียงคำตามพจนานุกรมเป็นอย่างไร,เรียงตามอักษรและสระ โดยไล่อักษรมาก่อน ตามด้วยรูปสระ และไม่เรียงตามวรรณยุกต์เป็นหลัก เว้นแต่จะสะกดการันต์เหมือนกัน คือ ทา ท่า ท้า ทาน ท่าน ไม่เป็น ทา ทาน ท่า ท่าน ท้า อ่านในคำนำได้
1212,คำว่า ALOHA เป็นภาษาฮาวายหรือสเปน,aloha เป็นคำทักทายของภาษาฮาวาย ส่วนภาษาสเปนใช้ hola ไม่เหมือนกัน
1213,"รบกวนขอทราบคำแปลภาษาอังกฤษที่ถูกต้องของคำว่า ""อาจารย์"" หน่อย",ใช้คำว่า teacher; trainer; educator; instructor ได้
1214,ช่วยบอกแนวทางการเขียนเรียงความ การประหยัดพลังงานหน่อย,"1. เราต้องเกริ่นนำก่อนครับว่าพลังงานในโลกของเราไม่ว่าจะเป็น ต้นไม้ ถ่านหิน นำมันดิบที่มีอยู่อย่างจำกัดกำลังใกล้จะเหลือน้อยเต็มที"
1215,เมื่อย่อความเรื่องที่เป็นคำประพันธ์ร้อยกรอง จะต้องขึ้นต้นว่า,ไม่จำเป็นนี่ เราสามารถย่อไปได้เลย ตามสาระสำคัญของต้นฉบับ
1216,คำว่า Graffiti ในภาษาละติน เขียนว่าอะไร,สะกดเหมือนกันครับ graffiti เป็นรูปพหูพจน์ของ graffito และมาจากคำกริยา graffiare ที่แปลว่าขีดเขียน
1218,คำว่า นอมินีเป็นภาษาอะไร และมีความหมายว่าอย่างไร,"ภาษาอังกฤษ โดย nominee = ผู้ได้รับการเสนอชื่อเข้าชิงตำแหน่ง, ผู้ได้รับเสนอชื่อเข้ารับเลือกตั้ง"
1219,ภาษิตมีความหมายว่าอย่างไร,ถ้อยคำหรือข้อความที่กล่าวสืบต่อกันมานาน มีความหมายเป็นคติ สุภาษิตจึงหมายความว่า ภาษิตที่ดี
1220,ฟังชั้นคีย์บอร์ดตั้งแต่ F1  F12 มีความหมายว่าอย่างไร,F บนปุ่มย่อมาจาก function ในคอมพิวเตอร์สมัยก่อนใช้เป็นคีย์ลัดเพื่อบรรจุคำสั่งการทำงานที่ซ้ำ ๆ กัน บันทึกลงไปได้เอง  ซึ่งมีมากกว่า 12 ปุ่มเสียอีก ปัจจุบันไม่ค่อยเหลือความสำคัญเท่าไร จะมีก็แต่การทำงานที่ถูกกำหนดขึ้นโดยระบบปฏิบัติการ เช่น ในวินโดวส์ F1 ใช้แทนการขอความช่วยเหลือ เปิดคู่มือ  F2 ใช้แทนการเปลี่ยนชื่อไฟล์ F5 ใช้แทนการโหลดหน้าจอใหม่ เป็นต้น และผู้ใช้ทั่วไปเปลี่ยนเองไม่ได้ ต้องเปลี่ยนโดยการเขียนโปรแกรมขึ้นมาทับการทำงานเดิม
1221,คำว่าคุณวุฒิอ่านว่าอย่างไร,คุณวุฒิ อ่านว่า คุนนะวุด และ คุนนะวุดทิ
1222,มัธยมศึกษาภาษาอังกฤษว่ายังไง,"มัธยมศึกษา = secondary education, high school education"
1224,เคอร์ฟิว มาจากภาษาอังกฤษคำว่าอะไร,เคอร์ฟิว ตรงตัวจากภาษาอังกฤษ คำว่า curfew
1225,เอื้อการย์ ในภาษาอังกฤษเขียนยังไง,"ตามหลักการการถอดอักษรไทยเป็นอักษรโรมันแบบถ่ายเสียงของราชบัณฑิตยสถาน จะสะกดว่า Ueakan ครับ แต่อ่านตามภาษาอังกฤษคงอ่านยากนิดหน่อย  อาจจะมีสะกดแบบอื่นไม่ว่า Ueakarn, Uakarn, Uakan"
1226,เพลิงกับไฟต่างกันอย่างไร และใช้ต่างกันอย่างไร,เหมือนกัน เพราะเพลิงแปลว่าไฟ แต่เพลิงใช้ในคำพูดทางการมากกว่า
1227,อยากทราบว่าระเบียบวินัยคืออะไร และพฤติกรรมแบบใดที่เรียกว่าระเบียบวินัย,"ระเบียบ คือแบบแผนที่วางไว้ให้ปฏิบัติ หรือทำตัวถูกลำดับ ถูกแถวถูกแนว เช่นจะว่า วางของเป็นระเบียบ ก็ได้ วินัย คือระเบียบสำหรับกำกับความประพฤติ ไม่ให้ทำตัวผิดแปลกไปจากคนอื่น"
1229,ประเทศภูฏาน นั้นอ่าว่า พูตาน หรือ พูถาน กันแน่,"อ่าน ""พูตาน"""
1230,สวัสดีภาษาเวียดนาม พูดว่าอย่างไร,ซิน จ่าว
1231,อยากรู้ว่า แห้ว ภาษาอังกฤษเรียกว่าอะไร,ที่วางขายตามร้านขายของ ในอเมริกา  เรียก water chestnut
1232,อยากถามว่าเครื่องเสียงขนาดใหญ่มีอะไรบ้างและหลักการทำงานมีอย่างไร อยากถามว่าเครื่องเสียงขนาดใหญ่มีอะไรบ้างและหลักการทำงานมีอย่างไร,"เครื่องเสียงขนาดใหญ่ ก็เหมือนเครื่องเสียงทั่วไป แต่มักจะมีการแยกส่วนทำงานแต่ละส่วนต่างหาก เพื่อให้มีประสิทธิภาพเต็มที่ โดยมากจะมีส่วนเพาเวอร์แอมป์ และ ปรีแอมป์ เป็นหลัก หากต้องการใช้กำลังขับสูงเพื่อขยายเสียงความถี่ต่ำ ก็จะมีเพาเวอร์แอมป์สำหรับขับเสียงทุ้มต่างหาก, เครื่องเสียงบางแบบ แยกการขยายกำลังสัญญาณแต่ละแชนแนลต่างหาก นอกจากนี้จะมีแหล่งสัญญาณ เช่น วิทยุ ซีดี และอุปกรณ์ประกอบ เช่น โทรทัศน์ จอภาพ หรือลำโพง หลักการทำงานก็คือ การขยายสัญญาณให้มากขึ้นจากเดิม จากนั้นจะผ่านวงจรแยกความถี่ เพื่อส่งไปยังลำโพงเสียงสูง กลาง ต่ำ ตามต้องการ"
1233,ส่วนประกอบที่สำคัญของกล้องจุลทรรศน์มีอะไรบ้าง,ประกอบไปด้วยส่วนอุปกรณ์ทัศนศาสตร์  Optics ซึ่งก็มีเลนส์วัตถุกับเลนส์ใกล้ตาเป็นสำคัญ และอาจมีปริซึทช่วยย่นระยะทาง อีกส่วนก็เป็นอุปกรณ์เชิงกล พวกที่ยึดสไลด์ปรับภาพหยาบ/ละเอียด ไดอะแฟรมปรับแสง เป็นต้น
1234,ต้องการหาที่อยู่ของบุคคลทึ่พลัดพรากกันมานานแล้วจะหาได้ยังไง รู้จักชื่อ นามสกุล และก็อำเภอ,ลองลงข่าวทางหนังสือพิมพ์หรือโทรทัศน์ดูสิ
1236,สงสัยว่าคนที่เรียนภาษาศาสตร์นี่ ทำงานเกี่ยวกับอะไร,"ภาษาศาสตร์ คือศาสตร์ที่เกี่ยวกับลักษณะของภาษาโดยรวม ไม่ใช่การเรียนภาษาใดภาษาหนึ่ง, คนที่เรียนภาษาศาสตร์และทำงานด้านภาษาศาสตร์ เรียกว่านักภาษาศาสตร์ ทำงานในขอบข่ายที่กว้าง เกี่ยวกับการวิเคราะห์วิจัยโครงสร้างทางภาษา การสืบสร้างภาษาโบราณ การจำแนกกลุ่มภาษา ตลอดจนการจัดทำพจนานุกรมภาษาหลัก หรือภาษาถิ่น รวมถึงการรวบรวมลักษณะเฉพาะของภาษานั้นๆ การเปรียบเทียบภาษาต่างๆ"
1237,ทำอย่างไรเวลาปอกแอปเปิ้ลทิ้งไว้แล้วจะไม่คล้ำ,ถ้าเป็นหัวหอม สามารถใช้น้ำมันพืชทาได้ แต่แอปเปิลไม่แนะนำให้ทาด้วยน้ำมันพืช ใช้พลาสติกห่ออาหาร wrap  คลุมไว้จะดีกว่า
1238,อยากเรียนสถาปัตย์แต่แม่ไม่ชอบจะทำยังไงดี,เรื่องเรียนอาจต้องศึกษาก่อน ว่าตัวเราเองต้องการเรียนมากน้อยแค่ไหน โดยอาจเริ่มต้นที่ คณะสถาปัตยกรรมศาสตร์ ศึกษาข้อมูลในภาพรวม และอาจลองแวะดูความเห็นของพวกรุ่นพี่กล่าวถึงคณะนี้ได้ ซึ่งถ้าอ่านแล้ว แน่ใจว่าตัวเราเองอยากเรียนจริง ก็ลองคุยกับแม่ ซึ่งเมื่อเรารู้ว่าสิ่งที่เราต้องการ และเป้าหมายคืออะไร เราจะสามารถอธิบายให้แม่เข้าใจได้ง่ายขึ้นและแม่ก็จะเข้าใจสิ่งที่เราต้องการจริง
1239,เวลาบีบนมแรงๆ จะมีน้ำใสๆ ออกมาแต่ถ้าบีบอีกรอบต่อเนื่องกันจะไม่มีออกมา อาการแบบนี้เป็นมะเร็งเต้านมหรือไม่ เป็นข้างเดียว อีกข้างหนึ่งจะไม่เป็น,"อาการเริ่มต้นที่อาจจะเป็นมะเร็ง"
